"","M","totInt","specNo"
"380",206.82,3964.275390625,"128"
"381",206.86,4431.5888671875,"80"
"382",206.87,24505.8083496094,"80"
"383",206.92,0,"159"
"384",206.93,25159.4770507812,"147"
"385",206.94,28192.5842285156,"147"
"386",206.95,0,"147"
"387",206.99,0,"108"
"388",207,25116.8269042969,"108"
"389",207.01,12144.9881591797,"70"
"390",207.02,2602.59130859375,"41"
"391",207.03,46103.6364746094,"41"
"392",207.04,9139.57250976562,"41"
"393",207.12,9760.40576171875,"88"
"394",207.13,29114.9921875,"9"
"395",207.14,16628.6147460938,"9"
"396",207.2,4282.6396484375,"51"
"397",207.21,50831.2202148438,"51"
"398",207.22,31552.9990234375,"51"
"399",207.23,20684.6713867188,"87"
"400",207.25,21620.7106933594,"71"
"401",207.26,3795.48120117188,"71"
"402",207.27,13654.9033203125,"179"
"403",207.28,14411.2097167969,"19"
"404",207.29,18179.7546386719,"19"
"405",207.34,0,"183"
"406",207.35,26309.9755859375,"183"
"407",207.36,0,"183"
"408",207.39,0,"58"
"409",207.4,43267.1958007812,"58"
"410",207.41,17498.0400390625,"58"
"411",207.45,21921.6948242188,"10"
"412",207.46,0,"10"
"413",207.5,1657.57458496094,"177"
"414",207.51,26185.3618164062,"177"
"415",207.52,0,"177"
"416",207.53,0,"138"
"417",207.54,22806.84765625,"138"
"418",207.55,22989.7224121094,"121"
"419",207.56,21367.64453125,"121"
"420",207.57,0,"121"
"421",207.59,0,"180"
"422",207.6,22315.8862304688,"180"
"423",207.61,10007.49609375,"6"
"424",207.62,14477.6640625,"6"
"425",207.69,0,"159"
"426",207.7,24768.4736328125,"159"
"427",207.71,0,"159"
"428",207.72,2082.21484375,"43"
"429",207.73,20760.453125,"43"
"430",207.75,0,"19"
"431",207.76,19466.1318359375,"19"
"432",207.77,0,"19"
"433",207.79,0,"141"
"434",207.8,25527.6618652344,"141"
"435",207.81,0,"141"
"436",207.84,0,"70"
"437",207.85,13523.2852783203,"70"
"438",207.86,0,"70"
"439",207.94,0,"201"
"440",207.95,58477.6840820312,"1"
"441",207.96,4673.59521484375,"1"
"442",208,16277.2080078125,"128"
"443",208.01,10671.853515625,"128"
"444",208.04,31146.4418945312,"107"
"445",208.05,17461.98828125,"107"
"446",208.09,39387.0437011719,"5"
"447",208.1,12424.2763671875,"5"
"448",208.12,1994.22705078125,"136"
"449",208.13,18890.9497070312,"136"
"450",208.16,0,"141"
"451",208.17,25934.5517578125,"141"
"452",208.18,21825.970703125,"83"
"453",208.19,4545.09521484375,"83"
"454",208.2,0,"138"
"455",208.21,22928.55078125,"138"
"456",208.22,0,"138"
"457",208.26,20310.8271484375,"8"
"458",208.27,2798.94653320312,"8"
"459",208.28,21906.044921875,"23"
"460",208.29,17775.2084960938,"23"
"461",208.3,0,"98"
"462",208.34,2759.38525390625,"69"
"463",208.35,19675.451171875,"69"
"464",208.37,26142.5375976562,"21"
"465",208.38,24162.4892578125,"21"
"466",208.39,0,"21"
"467",208.4,28486.2043457031,"118"
"468",208.41,0,"118"
"469",208.47,10529.005859375,"22"
"470",208.48,43740.9184570312,"22"
"471",208.49,0,"41"
"472",208.51,3726.38818359375,"20"
"473",208.52,42493.8784179688,"20"
"474",208.53,0,"20"
"475",208.54,0,"51"
"476",208.55,24087.8984375,"51"
"477",208.56,0,"51"
"478",208.57,26051.0310058594,"80"
"479",208.58,18330.1787109375,"80"
"480",208.59,10470.7734375,"87"
"481",208.61,18411.7407226562,"122"
"482",208.62,7740.66455078125,"122"
"483",208.63,25508.8256835938,"122"
"484",208.64,18876.994140625,"122"
"485",208.68,17953.3564453125,"15"
"486",208.69,10321.1848144531,"15"
"487",208.7,0,"48"
"488",208.71,24763.3718261719,"48"
"489",208.72,0,"48"
"490",208.78,22934.5751953125,"99"
"491",208.79,0,"87"
"492",208.8,24473.5932617188,"87"
